MASTER PATH,DISH CALL,SLING CALL,MULTICAST,PORT,SSM1,SSM2,BUNDLE NAME,In Use,Sentry Number,Audio_1,Audio_2,Primary Port,Backup Port
FOXS22,FOXS22,FOXS22,232.23.34.22,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 57,Port 1057
FOXSD23,FOXSD23,FOXSD23,232.23.34.23,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 58,Port 1058
FOXSD24,FOXSD24,FOXSD24,232.23.34.24,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 59,Port 1059
FOXSE25,FOXSE25,FOXSE25,232.23.34.25,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 60,Port 1060
FOXSE26,FOXSE26,FOXSE26,232.23.34.26,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 61,Port 1061
FOXSE27,FOXSE27,FOXSE27,232.23.34.27,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 62,Port 1062
OLD_FOXSE28,OLD_FOXSE28,OLD_FOXSE28,232.23.34.28,3101,172.31.1.22,172.31.2.22,Gilbert MCR,No,Sentry 2,0,,Port 63,Port 1063
FOXSW29,FOXSW29,FOXSW29,232.23.34.29,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 64,Port 1064
FOXSW30,FOXSW30,FOXSW30,232.23.34.30,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 65,Port 1065
FOXSW31,FOXSW31,FOXSW31,232.23.34.31,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 66,Port 1066
FOXSW32,FOXSW32,FOXSW32,232.23.34.32,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 67,Port 1067
FOXSW33,FOXSW33,FOXSW33,232.23.34.33,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 68,Port 1068
FOXSW34,FOXSW34,FOXSW34,232.23.34.34,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 69,Port 1069
FOXSW35,FOXSW35,FOXSW35,232.23.34.35,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 70,Port 1070
FOXW36,FOXW36,FOXW36,232.23.34.36,3101,172.31.1.22,172.31.2.22,Gilbert MCR,Yes,Sentry 2,0,,Port 71,Port 1071
FR24ARA,NA,FR24ARA,232.70.14.1,1234,172.31.27.23,172.31.28.23,MX1,Yes,Sentry 2,0,,Port 72,Port 1072
